idx,names,price
0,스카치브라이트 일회용 마른 청소포 80매,18490
1,돈시몬 오렌지 주스 1L x 6,14990
2,라스카스 크림치즈 스프레드 28g x 36개입,20290
3,안옥남 국물용 다시팩 멸치 다시마 코스트코 17gX30팩,14900
4,사옹원튀김공방 칠리새우 800g,11590
5,농심 신라면 120gx30,10790
6,커클랜드 시그니춰 구운재래김 17g x 20봉,9890
7,딸기 트라이플,22990
8,KIRKLAND SIGNATURE 바닐라 아이스크림 1.89Lx2팩,17490
9,포르투갈타르트12CT,12990
10,"TROLLI 올인원 젤리 1,000G",11900
11,덕혼 포스트마크 파소로블스까베르네 쇼비뇽 750ML ,29990
12,커클랜드 시그니춰 프리미엄 애견 사료 15.87kg,59900
13,고메 바삭쫄깃한탕수육 1KG,13490
14,수지스 그릴드 닭가슴살 1KG,13690
15,키친솝 주방세제포도숙성초(4L+700ml),10890
16,UTZ 치즈 볼 992.2G,3990
17,KIRKLAND SIGNATURE 메이플 시럽,17790
18,Q-TIPS 큐팁스 순면 면봉 625개 X 3팩,10990
19,천일 낙지 볶음밥 300g X 7팩,12990
20,CHOSEN FOODS 아보카도 마요네즈 710ml,12490
21,커클랜드 시그니춰 프리미엄 3겹 화장지40m x 30롤,23490
22,"동원 7겹돈까스 1,040g",12290
23,바닐라슈 GCT,10990
24,오뚜기 멘보샤 1008g,15990
25,MCCAIN 해쉬브라운 1.3KG x 480개,6290
26,BBQ 닭강정 1.2kg,16990
27,고메중화짜장 760g x 4개,18990
28,소스락 백년육수 3g x 80,13490
29,파이어폭스 바베큐숯 10kg,24790
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
107,,
